Partida,Tiempo,Cantidad_palabras_a_adivinar,Nombre_del_evento,Nick,Genero,Edad,Estado,Palabra,Nivel
0,1624471778.1201825,6,inicio_partida,pepe,Mujer,12,,,1
0,1624471828.1721182,6,fin,pepe,Mujer,12,timeout,,1
1,1624471836.4631977,6,inicio_partida,pepe,Mujer,12,,,1
1,1624471837.4715874,6,intento,pepe,Mujer,12,error,Thermae Romae,1
1,1624471839.3896527,6,intento,pepe,Mujer,12,error,Kyo Kara Maoh,1
1,1624471841.2466888,6,intento,pepe,Mujer,12,error,Ascendance of a Bookworm,1
1,1624471843.6032007,6,intento,pepe,Mujer,12,ok,Thermae Romae,1
1,1624471844.5339472,6,intento,pepe,Mujer,12,error,Kyo Kara Maoh,1
1,1624471845.9398694,6,intento,pepe,Mujer,12,error,Kyo Kara Maoh,1
1,1624471848.1165469,6,intento,pepe,Mujer,12,error,Ascendance of a Bookworm,1
1,1624471849.6276684,6,intento,pepe,Mujer,12,error,Meiji Tokyo Renka,1
1,1624471851.144842,6,intento,pepe,Mujer,12,ok,Kyo Kara Maoh,1
1,1624471851.9817886,6,intento,pepe,Mujer,12,error,The Twelve Kingdoms,1
1,1624471854.0681584,6,intento,pepe,Mujer,12,error,Ascendance of a Bookworm,1
1,1624471855.428561,6,intento,pepe,Mujer,12,error,Meiji Tokyo Renka,1
1,1624471857.0049388,6,intento,pepe,Mujer,12,ok,Meiji Tokyo Renka,1
1,1624471859.605413,6,intento,pepe,Mujer,12,error,Ascendance of a Bookworm,1
1,1624471861.0283978,6,intento,pepe,Mujer,12,error,Familiar of Zero F,1
1,1624471862.531814,6,intento,pepe,Mujer,12,ok,Ascendance of a Bookworm,1
1,1624471864.008063,6,intento,pepe,Mujer,12,error,Familiar of Zero F,1
1,1624471866.373939,6,intento,pepe,Mujer,12,error,Familiar of Zero F,1
1,1624471868.5030317,6,intento,pepe,Mujer,12,ok,Familiar of Zero F,1
1,1624471869.2616389,6,intento,pepe,Mujer,12,ok,The Twelve Kingdoms,1
1,1624471869.5627096,6,fin,pepe,Mujer,12,finalizada,,1
2,1624474346.3993425,6,inicio_partida,dsf,Hombre,22,,,1
2,1624474347.4867256,6,intento,dsf,Hombre,22,ok,Golden Kamuy,1
2,1624474348.6719072,6,intento,dsf,Hombre,22,error,Samurai Jam-Bakumatsu Rock,1
2,1624474350.2108579,6,intento,dsf,Hombre,22,error,AKB0048,1
2,1624474351.7831752,6,intento,dsf,Hombre,22,error,SENGOKUCHOJYUGIGA,1
2,1624474353.2223954,6,intento,dsf,Hombre,22,error,Utakoi,1
2,1624474354.7041876,6,intento,dsf,Hombre,22,ok,Utakoi,1
2,1624474355.968332,6,intento,dsf,Hombre,22,error,SENGOKUCHOJYUGIGA,1
2,1624474357.6902332,6,intento,dsf,Hombre,22,ok,SENGOKUCHOJYUGIGA,1
2,1624474358.641105,6,intento,dsf,Hombre,22,ok,AKB0048,1
2,1624474359.8015418,6,intento,dsf,Hombre,22,ok,Love Live!,1
2,1624474360.7289104,6,intento,dsf,Hombre,22,ok,Samurai Jam-Bakumatsu Rock,1
2,1624474361.0298698,6,fin,dsf,Hombre,22,finalizada,,1
3,1624479368.92777,3,inicio_partida,akira,Mujer,22,,,0
3,1624479402.5439026,3,intento,akira,Mujer,22,error,That Time I Got Reincarnated as a Slime,0
3,1624479435.806573,3,fin,akira,Mujer,22,abandonada,,0
4,1624479452.324595,5,inicio_partida,akira,Mujer,22,,,0
4,1624479463.5900776,5,fin,akira,Mujer,22,abandonada,,0
5,1624479481.0756655,6,inicio_partida,akira,Mujer,22,,,0
5,1624479482.8630059,6,intento,akira,Mujer,22,error,Fushigi Yugi OVA,0
5,1624479485.096304,6,intento,akira,Mujer,22,error,Re:ZERO -Starting Life in Another World-,0
